,ReviewTitle,RestaurantAddress,RestaurantName,Review,Food,RestaurantReview,FoodReview,RestaurantFeature(spacy),FoodFeature(spacy),RestaurantFeature(vader),FoodFeature(vader)
18,$3 Fishball Noodle With Fish Cake,"22A/22B Havelock Road, Singapore",Khin Kee Handmade Fishball Kway Teow ᛫ Sliced Fish Bee Hoon (Havelock Road Cooked Food Centre),If you’re around Havelock Road area and crave for an excellent fishball noodle try this. Just for $3 you’ll get a bowl of well cooked noodles with chilli sauce and vinegar (if you prefer). The fishballs are definitely handmade and is tasty and bounces as you bite. I added $1.50 for the deep fried fish cake and it’s just as good as the fish balls. No wonder he has a following from Toa Payoh where he was before here.,"cake,chilli,chilli sauce,fish,fishball,fishball noodle,noodle,noodles,vinegar",no wonder he has a following from toa payoh where he was before here.,if you’re around havelock road area and crave for an excellent fishball noodle try this. just for $3 you’ll get a bowl of well cooked noodles with chilli sauce and vinegar (if you prefer). the fishballs are definitely handmade and is tasty and bounces as you bite. i added $1.50 for the deep fried fish cake and it’s just as good as the fish balls.,following,"havelock,excellent,fishball,try,cooked,chilli,prefer,definitely handmade,tasty,bite,added,deep,fried,cake,good",,"excellent,definitely,good"
19,(1 x 🍶) + (5 x 🍾） .,"30 Robertson Quay, Singapore",Shunjuu Izakaya,@igsg #igsg #singapore #foodpornasia @burpple #burpple @hungrygowhere #hungrygowhere @chopesg #chopesg #chopebites #setheats #eatoutsg #sgfood #foodsg @sgfoodie #sgfoodie @singaporeeats #singaporeeats #japanese #japanesecuisine #finedining #sashimi #sushi @shukuuizakaya #shukuuizakaya #izakaya,"sashimi,sushi",                          ,,,,,
20,(7 x 🧀) x (7 x 👦🏻👧🏻） .,"11 Unity Street, Singapore",Wine Connection Tapas Bar & Bistro (Robertson Walk),"Soft Cheese. Semi-Hard Cheese. Hard Cheese. Blue Cheese. Goat’s Cheese. Through all the cheesiness, I’m so happy I’ve finally found another mutual cheese lover whose faves are also the strong (pungent) variants @jubelici0us@igsg #igsg #singapore #foodpornasia @burpple #burpple @hungrygowhere #hungrygowhere @chopesg #chopesg #chopebites #setheats #eatoutsg #sgfood #foodsg @sgfoodie #sgfoodie @singaporeeats #singaporeeats @wineconnectionsg #wineconnectionsg #wineconnection #cheeseplatter #cheese","cheese,wine",,"soft cheese. semi-hard cheese. hard cheese. blue cheese. goat’s cheese. through all the cheesiness, i’m so happy i’ve finally found another mutual cheese lover whose faves are also the strong (pungent) variants                        ",,"soft,hard,blue,happy,finally found,mutual,strong,pungent",,"hard,happy,lover,strong"
21,(Media Invite) @supplydemandorchard has an extensive menu to suit those who desire western and those who prefer alittle asian.,"277 Orchard Road, Singapore",Supply & Demand (orchardgateway),"▫️▪️On our tasting menu, we dig into avocado pesto pizza, seared beef pear pizza, okomiyaki sweet potato fries, parma ham crostini, plump raw oysters and lots more. What not to be missed is the baked prosciutto brie, which was clearly the favorite of everyone at the table.▫️▪️The flavors of each item will certainly tease your tastebuds with bursts of sweet, salty and the richness.▫️▪️Thank you @cheezzoo @marque.sg for the invite snd @supplydemandorchard for hosting.For more deets, please visit www.supplyanddemand.com.sg#mediainvite #8dayseat #burpple #instafoodsg #instagood #bloggers #tastesocietysg #singaporeinsiders #photooftheday #photographers #bestfoodphoto #foodphotography #foodporn #nomnom #sgfoodies #foodiesofinstagram #supplyanddemandorchardgateway","beef,earl,fries,oyster,oysters,pho,pizza,potato,prosciutto,raw oysters,sweet potato,tea","▫️ ▪ ️▪ ️▪️thank you  .sg for the invite snd  for hosting. for more deets, please visit www.supplyanddemand.com.sg                ","️on our tasting menu, we dig into avocado pesto pizza, seared beef pear pizza, okomiyaki sweet potato fries, parma ham crostini, plump raw oysters and lots more. what not to be missed is the baked prosciutto brie, which was clearly the favorite of everyone at the table.▫ ️the flavors of each item will certainly tease your tastebuds with bursts of sweet, salty and the richness.▫","snd,hosting,visit","tasting,dig,seared,okomiyaki,sweet,plump,raw,lots,missed,baked,️the,certainly tease,salty",invite,"sweet,missed,clearly,favorite,certainly,tease,richness"
22,1 for 1 double scoop ($10.90)!,"3 Gateway Drive, Singapore",Häagen-Dazs (Westgate),😍😋👍🏼.....#meryleats #whati8today #sgfoodunion #8dayseat #burpple #openricesg #instadaily #instafood #foodgasm #foodie #foodspotting #foodstagram #foodstamping #foodporn #foodphotography #vscofood #eatbooksg #sgfood #sgfoodies #ieatishootipost #nofilter #likes #sgfooddiary #food #dessert #dessertporn #bbwlovebbm520 #sgfoodlover #haagendazs #icecream,"cream,dessert,icecream,pho,rice",😍😋👍🏼.....                             ,,😋,,😍,
23,1 for 1 mcnuggets ($4.60)!,"50 Jurong Gateway Road, Singapore",McDonald's (Jem),😍😋👍🏼.....#meryleats #whati8today #sgfoodunion #8dayseat #burpple #openricesg #instadaily #instafood #foodgasm #foodie #foodspotting #foodstagram #foodstamping #foodporn #foodphotography #vscofood #eatbooksg #sgfood #sgfoodies #ieatishootipost #nofilter #likes #sgfooddiary #food #mcdonalds #bbwlovebbm520 #sgfoodlover #mcnuggets #asia #happymidweek,"mcnuggets,pho,rice",😍😋👍🏼.....                             ,,😋,,😍,
24,1 for 1 promotion.,Aug 4 at 10:49pm,wendy lim,We had the Fried Mushroom Platter. So worth it! #cajunonwheels #cajunonwheelssg #plazasingapura #sgfoodporn #sgcafe #sgrestaurant #eatoutsg #sgig #igsg #instasg #sgfoodies #sgigfoodies #foodcoma #instadaily #8dayseat #whati8today #burpple #burppleSG #hungrygowhere #sgfoodie #singaporeeats #iweeklyfood #foodphotography #foodstagram #STFoodTrending,pho,so worth it!                         ,we had the fried mushroom platter.,worth,fried,worth,
25,1/4 Roast Duck...always taste so good.,"128 Lorong 1 Toa Payoh, Singapore",Hua Fong Kee Roasted Duck,😱🤣👌..#burpple #singaporefood #food #foodporn #yum #instafood #TagsForLikes #yummy #amazing #instagood #photooftheday #sweet #dinner #lunch #breakfast #fresh #tasty #foodie #delish #delicious #eating #foodpic #foodpics #eat #hungry #foodgasm #hot #foods #myfab5 #shotoniphone11promax,pho,😱 🤣👌..                             ,,🤣,,"😱,🤣,👌",
26,135 Fishball Noodle,"127 Lorong 1 Toa Payoh, Singapore",Toa Payoh West Market & Food Centre,"$4.50 (Big)One of the best fishball noodle I’ve triedLots of fishballs, fish cake and meatballs","cake,fish,fishball,fishball noodle,meat,noodle",,"$4.50 (big)one of the best fishball noodle i’ve triedlots of fishballs, fish cake and meatballs",,"best,fishball",,best
27,1500mg of collagen is in this bowl of horfun.,"159 Mei Chin Road, Singapore",Shi Hui Yuan Hor Fun Speciality (Mei Ling Market & Food Centre),"The kway teow was smooth, soft and silky. Yesss... it tasted alittle different from the usual. Braised duck, chicken and spare ribs were tender, #epitome of being brewed for long hours.▫️▪️Don't forget to slurp the gravy, not overly salty. Splash abit or alot, up to your whims and fancies, of the tangy chilli sauce and the palate will lust for more. Good to the last drop.#noodleholics #oldschool #8dayseat #burpple #sgfood #singaporeinsiders #tastesocietysg #instagood #nomnom #instafoodsg #photooftheday #photooftheday #bestfoodphoto #foodphotography #foodporn #exploresingapore","chicken,chilli,chilli sauce,duck,kway teow,noodle,pho,ribs,spare ribs",yesss... it tasted alittle different from the usual. good to the last drop.               ,"the kway teow was smooth, soft and silky. braised duck, chicken and spare ribs were tender,  of being brewed for long hours.▫️▪️don't forget to slurp the gravy, not overly salty. splash abit or alot, up to your whims and fancies, of the tangy chilli sauce and the palate will lust for more.","tasted,different,usual,good","smooth,soft,silky,braised,spare,tender,brewed,long,hours.,forget,slurp,overly salty,tangy,lust","good,drop",forget
28,2 Cranes Boeuf Benedict ($15),"211 Hougang Street 21, Singapore",Two Cranes,The 2 Cranes Boeuf Benedict is eggs benedict with beef bourguignon. I thought it was nice but there are too many brunch places that this didn’t stand out much.,"beef,beef bourguignon,egg,eggs",i thought it was nice but there are too many brunch places that this didn’t stand out much.,the 2 cranes boeuf benedict is eggs benedict with beef bourguignon.,"thought,nice","boeuf,benedict",nice,
29,4-time Michelin Bib Gourmand SHI HUI YUAN Original Singapore Hor Fun opens flagship stall at Lau Pa Sat,Oct 14 at 7:54am,Maureen Ow,"Mr Fong’s wife developed a recipe using over 30 herbs which include Dang Shen, Yang Shen Xu and Luo Han Guo. The Hor Fun gravy is the embodiment of their Cantonese cooking philosophy of “Food as Medicine”.Read more: https://www.misstamchiak.com/shi-hui-yuan-lau-pa-sat/",herbs,,"mr fong’s wife developed a recipe using over 30 herbs which include dang shen, yang shen xu and luo han guo. the hor fun gravy is the embodiment of their cantonese cooking philosophy of “food as medicine”.read more: https://www.misstamchiak.com/shi-hui-yuan-lau-pa-sat/",,"developed,include,luo,cantonese,cooking,medicine”.read",,fun
30,8 Places To Get Delicious Wholemeal Baked Goods In Singapore,4d ago,Maureen Ow,"The Banana Oat Cake surprised me with its moist and flavourful contents. Even with reduced sugar, the banana cake was delicious.Read more: https://www.misstamchiak.com/wholemeal-baked-goods-singapore/","banana,banana cake,cake",read more: https://www.misstamchiak.com/wholemeal-baked-goods-singapore/,"the banana oat cake surprised me with its moist and flavourful contents. even with reduced sugar, the banana cake was delicious.",read,"surprised,moist,flavourful,reduced,delicious",,"surprised,delicious"
31,8 Treasures Rice ($12),"211 Hougang Street 21, Singapore",Two Cranes,The 8 Treasures Rice is bibimbap and it was really tasty. It typically comes with chicken but you can change it to beef. The sesame oil in this was so fragrant!,"beef,chicken",the sesame oil in this was so fragrant!,the 8 treasures rice is bibimbap and it was really tasty. it typically comes with chicken but you can change it to beef.,"sesame,fragrant","tasty,typically comes,change,beef",,treasures
32,"@Antoinette_SG's Ondeh Ondeh #Kaya Toast ($6) makes for an exceptional, indulgent afternoon snack.","9 Raffles Boulevard, Singapore",Millenia Walk,"Smeared across crisp Italian ciabatta is @chef_pang's house-made kaya, a light yet divinely rich concoction of coconut cream and pure pandan juice, then layered with Gula Melaka, topped with a pat of Echiré artisanal butter and coconut shreds.🔸Devour this over at #AntoinetteSG's brand new outlet at @MilleniaWalk, where they'll also be serving up delicious breakfast bites (from 8am) starting 1 Oct 2019.......#nothingisordinary #myfab5 #f52grams #dailyfoodfeed #lovefood #eatingfortheinsta #spoonfeed #huffposttaste #infatuation #buzzfeast #feedyoursoull #sgfood #tastingtable #forkyeah #sgfood #eater #eattheworld #foodblogfeed #visitsingapore #thisissingapore #burpple #MediaTasting #FindNewFood #googlelocalguides #shotoniphone","butter,ciabatta,cream,nut,pandan,pho,tart",,"smeared across crisp italian ciabatta is 's house-made kaya, a light yet divinely rich concoction of coconut cream and pure pandan juice, then layered with gula melaka, topped with a pat of echiré artisanal butter and coconut shreds.🔸devour this over at 's brand new outlet at , where they'll also be serving up delicious breakfast bites (from 8am) starting 1 oct 2019.......                        ",,"smeared,crisp,italian,divinely rich,coconut,pure,pandan,layered,topped,echiré,artisanal,shreds.,devour,brnew,serving,delicious,starting",,"divinely,rich,🔸,delicious"
33,"@burgerplussg has launched 4 new breakfast items , all served atop hot and fluffly brioche.","435 Orchard Road, Singapore",Burger+,".▪Egg Toast Avocado (Ala Carte $8.50, Combo $9.90).▪ Egg Toast Beef Bulgogi (Ala Carte $9.50, Combo $10).▪Egg Toast Ham and Cheese (Ala Carte $7.50, Combo $8.90)▪Egg Toast Bacon & Cheese (Ala Carte $7.50, Combo $8.90).@burgerplussg Breakfast menu is available daily from 8am-5pm..Location : @burgerplusg Wisma Atria , 435 Orchard Road #01-37/38 Singapore 238877..#burgerplussg #burpple #burpplesg",burger,". combo $9.90). ala carte $7.50, combo $8.90) combo $8.90). breakfast menu is available daily from 8am-5pm.. location :  wisma atria , 435 orchard road -37/38 singapore 238877..  ","▪egg toast avocado (ala carte $8.50, ▪ egg toast beef bulgogi (ala carte $9.50, combo $10). ▪egg toast ham and cheese ( ▪egg toast bacon & cheese (ala carte $7.50,","ala,available,wisma","▪,ala",,
34,"@burgerplussg is not all about burgers, they serve pretty good fried chicken too!","435 Orchard Road, Singapore",Burger+,"Their latest creations, the Tteokgangjeong Combo Set ($18.50) and Cheesetos Chicken Combo Set ($18.80) are pretty good and addictive. Goes well with a pint of beer I guess. #Chimaek, anyone?PS: Available till 30 Sep only.#koreanfriedchicken #burgerplus #burgerplussg #wismaatria #tteokgangjeong #toppoki #koreanfood #치맥","beer,burger,chicken,friedchicken,toppoki","i guess. , anyone?ps: available till 30 sep only.       ","their latest creations, the tteokgangjeong combo set ($18.50) and cheesetos chicken combo set ($18.80) are pretty good and addictive. goes well with a pint of beer","guess,available","latest,tteokgangjeong,combo,cheesetos,pretty good,addictive,goes",,"creations,pretty,good"
35,"@cottontailcreamery ‘s version of avocado on toast, brought to another level by the addition of butternut squash, hummus, rocket salad and an organic egg.","326 Serangoon Avenue 3, Singapore",Cottontail Creamery,So glad we’ve another place cool to hangout in Serangoon.,,so glad we’ve another place cool to hangout in serangoon.,,"glad,cool,hangout",,"glad,cool",
36,@elixir.boutiqueroasters are serving food from today!,"10 Jalan Serene, Singapore",Elixir Boutique Roasters,They are on tips basis for now till 2 Aug! Check out this beautiful Creme Brûlée French Toast 🥰 comes with assorted of seasonal fruit and studded with candied bacon. #elixirfortipsLoved the dark roasted coffee served here with default double shot - guaranteed caffeine boast!Do check them out and give them your support 💕 They are sharing space with Fat Belly (who operates after 430pm!).,"bacon,caffeine,coffee,fruit",they are on tips basis for now till 2 aug! 💕 they are sharing space with fat belly (who operates after 430pm!).,check out this beautiful creme brûlée french toast 🥰 comes with assorted of seasonal fruit and studded with candied bacon.   the dark roasted coffee served here with default double shot - guaranteed caffeine boast!do check them out and give them your support,"sharing,fat,operates","check,beautiful,french,comes,assorted,seasonal,studded,candied,dark,roasted,served,double,guaranteed",sharing,"beautiful,🥰,support"
37,"@kohakutendon reintroduce autumn menu, Hokkaido Autumn Salmon ($17.00++).","6 Eu Tong Sen Street, Singapore",Tendon Kohaku (Clarke Quay Central),".The highlight from this autumn menu is the two pieces of salmon are sandwiched with a layer of Hokkaido cheese and tempura..Its available at all Tendon Kohaku Outlets from 16 October to 30 November 2019.Location : @kohakutendon Clarke Quay Central, 6 Eu Tong Sen Street.Clarke QuAt central #B1-52 and #B1-53, Singapore 059817..#kohakutendon #burpple #burpplesg","cheese,pie,salmon,sandwich,tempura,tendon","clarke quat central -52 and -53, singapore 059817..  ",".the highlight from this autumn menu is the two pieces of salmon are sandwiched with a layer of hokkaido cheese and tempura.. its available at all tendon kohaku outlets from 16 october to 30 november 2019.location :  clarke quay central, 6 eu tong sen street.","clarke,quat,central","sandwiched,available,clarke,quay,central,tong,sen",,highlight
38,"@livingmenu is an online platform that strives to turn your sad desk lunch into an affordable culinary adventure every day at affordable pricesWith up to 100 new dishes every month, you will definitely be spoilt for lunch choices with @livingmenu !",Singapore,Singapore,"I love how the options are never boring, such as the Shepherd's Pie with Mesclun and Tom Yum Fried Rice with Seabass . Simply visit the website for their weekly(yes it changes super often) menu, order and select a location for pickup! 😊. ‼️50% off if you use my referral link!‼️👉🏻https://signup.living.menu/fatpigdiary",,"simply visit the website for their weekly(yes it changes super often) menu, order and select a location for pickup! 😊. ‼️50% off if you use my referral link!‼️ 👉🏻https://signup.living.menu/fatpigdiary","i love how the options are never boring, such as the shepherd's pie with mesclun and tom yum fried rice with seabass .","simply visit,changes,select,use,🏻https://signup.living.menu","love,boring,fried","super,😊","love,boring"
39,@oldsengchoong has outdone itself with its range of delectable baked & snow skin mooncakes this year!,Sep 4 at 10:39pm,Geraldine Tay,The flavour that got me swooning after one bite? It got to be the savoury Red Lotus Paste with Bakwa ($68.80/box of 4). Smooth red lotus paste with hand-chopped bak kwa encased in thin golden brown pastry. So so so good!I like that #OldSengChoong’s mooncakes are not very sweet and boast generous fillings. There is bak kwa in every bite!Not a fan of traditional baked mooncakes? Go for the snow skin mooncakes. I love the Yam with Pumpkin Snowskin! Smooth mashed yam with pumpkin core encased in mochi-like snow skin pastry. What’s amazing is that the yam filling has the fragrance of shallot oil. OH-EM-GEE!! It’s literally Orh Nee in mooncake form.PS: There’s a 10% discount for purchases made at their flagship store @clarkequaycentral or @takashimayasg booth till 13 Sep! (15% for online purchase). #mooncakefestival #mooncake #bakedmooncake #clarkequaycentral #takashimayasg #中秋節 #中秋节 #月饼 #月餅,"bak kwa,cake,cakes,lotus paste,mochi,mooncake,mooncakes,pumpkin,red lotus,snow skin mooncakes,yam",the flavour that got me swooning after one bite? so so so good!i like that ’s oh-em-gee!! ps: there’s a 10% discount for purchases made at their flagship store  or  booth till 13 sep! (15% for online purchase).         ,it got to be the savoury red lotus paste with bakwa ($68.80/box of 4). smooth red lotus paste with hand-chopped bak kwa encased in thin golden brown pastry. mooncakes are not very sweet and boast generous fillings. there is bak kwa in every bite!not a fan of traditional baked mooncakes? go for the snow skin mooncakes. i love the yam with pumpkin snowskin! smooth mashed yam with pumpkin core encased in mochi-like snow skin pastry. what’s amazing is that the yam filling has the fragrance of shallot oil. it’s literally orh nee in mooncake form.,"got,swooning,like,online","got,red,paste,smooth,chopped,encased,thin,golden,brown,sweet,boast,generous,traditional,baked,love,mashed,like,amazing","like,flagship","hand,sweet,generous,fan,love,like,amazing"
40,@paddyfolks's latest outlet at now open at @funansg!,"107 North Bridge Road, Singapore",Paddyfolks,"Definitely more food choices for the people working at City Hall.So basically, PaddyFolks allows you to customize your meal by choosing the:- Size and protein- Carbs, 3 supplements and sauce- Garnish- DrinkLocated right after the escalator up!",,"definitely more food choices for the people working at city hall. so basically, paddyfolks allows you to customize your meal by choosing the:- size and protein- carbs, 3 supplements and sauce- garnish- drinklocated right after the escalator up!",,"working,allows,customize,choosing,protein-,sauce-,drinklocated",,definitely,
41,"@refinerysg has added new dishes to their menu including Salmon Poké Bowl ($12), Mixed Chirashi Bowl ($14) and Mala Mama Bowl ($14).","115 King George's Avenue, Singapore",The Refinery,I’ve been a loyal fan since they first opened. Do try them when you’re around the area! .....#invitedtasting #flatlay #yummy #burpple #burpplesg #sgfoodblogger #foodstyling #foodplating #foodblog #sgrestaurant #f52grams #foodphotography #wagyu #stfoodtrending #sgfood #buzzfeast #exploresingapore #onthetable #flatlayforever #cafehopping #sgcafe #sgfoodie #sgfoodies,"pho,wagyu",i’ve been a loyal fan since they first opened. do try them when you’re around the area! .....                      ,,"loyal,opened,try",,"loyal,fan",
42,@tanukiraw is still my favorite place for truffle beef don!,"181 Orchard Road, Singapore",Tanuki Raw (Orchard Central),Hit me up with alternative places cause... Everyday also queue ah!,,hit me up with alternative places cause... everyday also queue ah!,,"hit,alternative,cause",,,
43,@thealley.sg is now @tampines1!!,"10 Tampines Central 1, Singapore",The Alley (Tampines 1),"To celebrate their 3rd and newest outlet, they have pushed out 2 new flavours of their drinks - Lulu Lychee in Angel & Devil.This is definitely one for those who love their Lulu fruits series, they are having a limited time promotion of 2 for $14 (U.P. $8.30 each). Personally, preferred the Devil 😈 over the Angel 😇 one as I love the stronger lychee flavours in this one with the lychees as toppings!",fruit,"to celebrate their 3rd and newest outlet, they have pushed out 2 new flavours of their drinks - lulu lychee in angel & devil. personally, preferred the devil 😈 over the angel 😇 one as i love the stronger lychee flavours in this one with the lychees as toppings!","this is definitely one for those who love their lulu fruits series, they are having a limited time promotion of 2 for $14 (u.p. $8.30 each).","celebrate,3rd,newest,pushed,new,preferred,love,stronger,flavours","definitely love,lulu,having,limited","celebrate,devil,😈,😇,love,stronger","definitely,love,limited"
44,@thealley.sg opens today (18/5/19)!,"8 Grange Road, Singapore",The Alley Luxe (Cineleisure),"Swing by their opening and stand to get their cute deer plushie keychain (first 50 only!!). I really like their Matcha Brown Sugar Deerioca Fresh Milk ($6.30), it has hints of matcha bitterness along with just a slight sweetness from the brown sugar. Pretty balanced and not as sweet as I have expected!Don’t take to long for photos, you are advised to drink it almost immediately to enjoy the right texture of their warm brown sugar pearls!Congratulations on the opening of their second outlet (first in Jewel) 🎉","brown sugar,brown sugar pearls,earl,matcha,pho",swing by their opening and stand to get their cute deer plushie keychain (first 50 only!!).,"i really like their matcha brown sugar deerioca fresh milk ($6.30) , it has hints of matcha bitterness along with just a slight sweetness from the brown sugar. pretty balanced and not as sweet as i have expected!don’t take to long for photos, you are advised to drink it almost immediately to enjoy the right texture of their warm brown sugar pearls!congratulations on the opening of their second outlet (first in jewel) 🎉","swing,cute","like,matcha,brown,deerioca,fresh,slight,pretty balanced,sweet,advised,drink,immediately enjoy,right,warm,second",cute,"like,fresh,bitterness,sweetness,pretty,sweet,enjoy,warm,jewel,🎉"
